onset	duration	trial_type
0	21	1
21.012	5	2
26.0301	31	4
57.2383	21	1
78.2503	5	2
83.2684	31	5
114.4766	21	1
135.4887	5	2
140.5068	31	3
171.7149	21	1
192.727	5	2
197.7451	31	5
228.9533	21	1
249.9653	5	2
254.9834	31	5
286.1916	21	1
307.2036	5	2
312.2217	31	4
343.4299	21	1
364.4419	5	2
369.46	31	3
400.6682	21	1
421.6803	5	2
426.6983	31	3
457.9065	21	1
478.9186	5	2
483.9367	31	4
515.1348	21	1
536.1469	5	2
541.165	31	3
572.3732	21	1
593.3852	5	2
598.4033	31	5
629.6115	21	1
650.6235	5	2
655.6416	31	4
686.8498	21	1
