onset	duration	trial_type	correct
0.0216	20	3	0
20.0045	2	2	0
25.0022	2	2	1
32.0096	2	2	1
39.0069	2	2	1
45.0046	2	2	1
57.0101	2	2	0
62.0082	2	2	0
66.0067	2	2	0
70.0052	2	2	1
74.0037	2	2	0
85.0095	2	2	1
92.0068	2	2	1
98.0046	2	2	1
105.0019	2	2	1
109.0104	2	2	1
115.0081	2	2	1
120.0062	2	1	1
125.0043	2	1	1
132.0016	2	1	1
139.009	2	1	0
145.0067	2	1	1
155.0029	2	1	1
160.001	2	1	0
164.0095	2	1	1
170.0072	20	3	0
190.0097	2	4	1
195.0078	2	4	1
202.0051	2	4	1
206.0036	2	4	1
212.0013	2	4	1
219.0087	2	4	1
231.0041	2	4	1
235.0026	2	4	0
240.0107	2	1	1
247.0081	2	1	1
251.0065	2	1	1
263.002	2	1	1
268.0101	2	1	0
272.0086	2	1	1
279.0059	2	1	1
284.0041	2	1	1
290.0018	2	4	1
294.0103	2	4	0
299.0084	2	4	0
305.0061	2	4	1
311.0038	2	4	1
316.0019	2	4	0
320.0104	2	4	0
333.0055	2	4	1
340.0028	20	3	0
