onset	duration	trial_type
0	21	1
21.012	5	2
26.0301	31	4
57.2281	21	1
78.2401	5	2
83.2582	31	5
114.4662	21	1
135.4782	5	2
140.4963	31	4
171.7043	21	1
192.7163	5	2
197.7344	31	3
228.9424	21	1
249.9544	5	2
254.9725	31	4
286.1805	21	1
307.1925	5	2
312.2106	31	5
343.4186	21	1
364.4306	5	2
369.4486	31	3
400.6567	21	1
421.6687	5	2
426.6868	31	4
457.8948	21	1
478.9068	5	2
483.9249	31	3
515.1329	21	1
536.1449	5	2
541.163	31	5
572.3709	21	1
593.383	5	2
598.401	31	3
629.6091	21	1
650.6211	5	2
655.6391	31	5
686.8371	21	1
